id,group,nimbus-elites,elegant-enigma-alliance,urban-lifestyle,budget,comfort,luxury
222f62f8-9941-4148-a9f6-cf887db1dede,4,1,0,0,0,0,1
b1dcc4b6-a2e2-4bfb-ad5f-c246b4b59e07,4,0,0,1,0,1,0
349a1b26-ad74-490c-b85c-6081c106d849,5,0,0,1,0,1,0
a9c2424d-996e-4245-ba43-124eaca463f0,2,0,1,0,0,0,1
3810de06-5dc7-43c4-8e2f-beb65742b2c3,3,0,0,1,0,0,1
b11e199d-b7b8-4bc1-a549-6d96c87fdbec,5,1,0,0,1,0,0
38408435-6fda-4b1b-8c4d-a112431fc82e,5,0,0,1,0,1,0
2ca8f5a4-477e-4ce1-a4af-f599c2246bdd,5,0,0,1,0,1,0
d76afdb0-13da-47dd-b775-5a5c5c9aa972,4,1,0,0,0,0,1
7be083dd-1345-4d86-a8e7-082839ffad85,5,0,1,0,0,0,1
aff136f1-d357-47bc-8254-b09cf9c75289,4,0,0,1,0,0,1
2cf6c0f5-53cb-4342-9f87-1b23bb651a8e,5,0,1,0,0,0,1
e5fc12c7-ce06-448c-853c-67b7000ff158,4,0,0,1,1,0,0
0e7368a7-ebb4-4ffc-957c-b6a8ed62cfb1,5,1,0,0,0,0,1
12505226-89bf-4131-8055-a78b12e7bceb,4,0,0,1,0,0,1
31ca05dd-5d3d-48fd-9af7-67afbb376f7e,5,1,0,0,0,0,1
81448ac0-e002-4958-9a99-b7da63d0ac54,1,1,0,0,1,0,0
4139e3cb-4357-493f-952d-f3a198d3d132,5,1,0,0,0,0,1
cbd45298-5725-4973-8ba8-be0c49879211,3,0,1,0,1,0,0
820a9326-fb89-426d-a762-d9ca0da3c517,3,0,1,0,1,0,0
ce23dec9-de4c-4d6b-bb96-7c9d0b69a5e4,4,0,0,1,1,0,0
df951da8-21b7-461c-a9d6-3919da31b90d,4,1,0,0,0,0,1
d90e30ee-6cb1-4224-acf6-c4ee330af001,4,0,1,0,0,0,1
463b5d7a-939b-4e5e-b645-6a94cb94e0c0,4,0,0,1,0,0,1
ae17ffb7-1d5b-4a30-b81f-2492ae811489,4,0,0,1,0,1,0
6ac1a0a1-cf81-4f33-89ec-55676fa867db,5,1,0,0,0,0,1
e735f52c-fa17-4f89-bc9b-5fb89eb4538a,5,1,0,0,0,0,1
f500288a-8c6e-477f-833e-6bb2dcf51652,5,0,1,0,0,0,1
d0bb8ace-23ae-4b7f-8979-e9d61ed2cebb,5,1,0,0,1,0,0
aaff0d73-30fb-4e28-9eb6-54017f4ca40e,5,0,1,0,0,0,1
